gene ID,gene name,Subject sequence ID,% of identical matches,Alignment length,Mistmatches,Gap openings,Start of alignment query,End of alignment query,Start of alignment subject ,End of alignment subject,E-value,Bit score,Protein annotations
gene0,LOC106915748,sp|O15234|CASC3_HUMAN,77.78,27,6,0,290,370,660,686,9.00E-05,45.8,Protein CASC3 OS=Homo sapiens GN=CASC3 PE=1 SV=2
gene1,rapgefl1,sp|Q9UHV5|RPGFL_HUMAN,48.51,134,35,1,22823,23224,406,505,5.00E-28,124,Rap guanine nucleotide exchange factor-like 1 OS=Homo sapiens GN=RAPGEFL1 PE=1 SV=2
gene10,LOC106924471,sp|P16442|BGAT_HUMAN,39.87,153,66,2,17363,17818,225,352,2.00E-25,111,Histo-blood group ABO system transferase OS=Homo sapiens GN=ABO PE=1 SV=2
gene1000,chek1,sp|O14757|CHK1_HUMAN,73.02,63,17,0,4803,4991,142,204,5.00E-36,108,Serine/threonine-protein kinase Chk1 OS=Homo sapiens GN=CHEK1 PE=1 SV=2
gene10000,ulk3,sp|Q6PHR2|ULK3_HUMAN,56.25,96,33,2,2644,2919,122,212,2.00E-22,105,Serine/threonine-protein kinase ULK3 OS=Homo sapiens GN=ULK3 PE=1 SV=2
gene10001,LOC106921578,sp|P26639|SYTC_HUMAN,83.87,62,10,0,7907,8092,416,477,1.00E-50,117,"Threonine--tRNA ligase, cytoplasmic OS=Homo sapiens GN=TARS PE=1 SV=3"
gene10002,tm2d3,sp|Q9BRN9|TM2D3_HUMAN,63.64,55,20,0,2160,2324,114,168,1.00E-27,84,TM2 domain-containing protein 3 OS=Homo sapiens GN=TM2D3 PE=2 SV=2
gene10003,larp6,sp|Q9BRS8|LARP6_HUMAN,54.3,372,144,10,5549,6631,127,483,3.00E-75,260,La-related protein 6 OS=Homo sapiens GN=LARP6 PE=1 SV=1
gene10004,lrrc49,sp|Q8IUZ0|LRC49_HUMAN,53.95,76,34,1,24895,25119,392,467,2.00E-18,94,Leucine-rich repeat-containing protein 49 OS=Homo sapiens GN=LRRC49 PE=2 SV=2
gene10005,thsd4,sp|Q6ZMP0|THSD4_HUMAN,64.52,62,22,0,46086,46271,802,863,7.00E-37,96.7,Thrombospondin type-1 domain-containing protein 4 OS=Homo sapiens GN=THSD4 PE=2 SV=2
gene10006,LOC106921584,sp|P12955|PEPD_HUMAN,72.06,68,19,0,6631,6834,384,451,1.00E-33,106,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3
gene10007,pepd,sp|P12955|PEPD_HUMAN,65.57,61,21,0,1767,1949,7,67,9.00E-34,85.1,Xaa-Pro dipeptidase OS=Homo sapiens GN=PEPD PE=1 SV=3
gene10008,abra,sp|Q8N0Z2|ABRA_HUMAN,72.85,151,40,1,3015,3464,230,380,5.00E-66,228,Actin-binding Rho-activating protein OS=Homo sapiens GN=ABRA PE=2 SV=1
gene10009,rnmt,sp|O43148|MCES_HUMAN,67.74,62,20,0,3531,3716,264,325,2.00E-21,100,mRNA cap guanine-N7 methyltransferase OS=Homo sapiens GN=RNMT PE=1 SV=1
gene1001,LOC106921330,sp|P06681|CO2_HUMAN,48.28,58,30,0,1181,1354,87,144,2.00E-15,57.4,Complement C2 OS=Homo sapiens GN=C2 PE=1 SV=2
gene10010,LOC106921574,sp|Q3ZCX4|ZN568_HUMAN,57.43,249,106,0,11866,12612,292,540,4.00E-89,306,Zinc finger protein 568 OS=Homo sapiens GN=ZNF568 PE=2 SV=2
gene10011,LOC106921588,sp|Q3ZCX4|ZN568_HUMAN,43.79,322,179,1,2093,3058,322,641,2.00E-75,263,Zinc finger protein 568 OS=Homo sapiens GN=ZNF568 PE=2 SV=2
gene10012,znf302,sp|P51523|ZNF84_HUMAN,50.31,483,240,0,5707,7155,231,713,3.00E-145,472,Zinc finger protein 84 OS=Homo sapiens GN=ZNF84 PE=1 SV=2
gene10014,unc13b,sp|O14795|UN13B_HUMAN,89.33,75,8,0,52239,52463,531,605,2.00E-55,135,Protein unc-13 homolog B OS=Homo sapiens GN=UNC13B PE=1 SV=2
gene10015,stoml2,sp|Q9UJZ1|STML2_HUMAN,57.14,63,20,2,1936,2103,113,175,9.00E-30,77,"Stomatin-like protein 2, mitochondrial OS=Homo sapiens GN=STOML2 PE=1 SV=1"
gene10016,pigo,sp|Q8TEQ8|PIGO_HUMAN,45.14,175,83,3,1109,1597,1,174,8.00E-34,143,GPI ethanolamine phosphate transferase 3 OS=Homo sapiens GN=PIGO PE=1 SV=3
gene10017,LOC106921589,sp|Q9UPQ4|TRI35_HUMAN,31.13,453,271,7,253,1554,15,445,1.00E-54,192,Tripartite motif-containing protein 35 OS=Homo sapiens GN=TRIM35 PE=1 SV=2
gene10018,LOC106921598,sp|Q9UPQ4|TRI35_HUMAN,33.94,330,210,3,383,1354,18,345,2.00E-48,174,Tripartite motif-containing protein 35 OS=Homo sapiens GN=TRIM35 PE=1 SV=2
gene1002,LOC106921335,sp|Q6UX15|LAYN_HUMAN,53.64,110,51,0,1477,1806,27,136,5.00E-30,124,Layilin OS=Homo sapiens GN=LAYN PE=2 SV=1
gene10024,LOC106921599,sp|P52803|EFNA5_HUMAN,83.33,102,17,0,77060,77365,42,143,5.00E-52,186,Ephrin-A5 OS=Homo sapiens GN=EFNA5 PE=1 SV=1
gene10025,piezo2,sp|Q9H5I5|PIEZ2_HUMAN,90.36,83,8,0,32331,32579,1283,1365,3.00E-41,133,Piezo-type mechanosensitive ion channel component 2 OS=Homo sapiens GN=PIEZO2 PE=1 SV=2
gene10026,napg,sp|Q99747|SNAG_HUMAN,69.05,42,13,0,1706,1831,82,123,2.00E-10,64.3,Gamma-soluble NSF attachment protein OS=Homo sapiens GN=NAPG PE=1 SV=1
gene10027,rab12,sp|Q6IQ22|RAB12_HUMAN,74.07,81,17,2,186,425,1,78,1.00E-24,105,Ras-related protein Rab-12 OS=Homo sapiens GN=RAB12 PE=1 SV=3
gene10028,mtcl1,sp|Q9Y4B5|MTCL1_HUMAN,61.06,470,144,9,30915,32297,498,937,8.00E-125,443,Microtubule cross-linking factor 1 OS=Homo sapiens GN=MTCL1 PE=1 SV=5
